9,Hpaan,Kawkayeit,Thaton,Mawlamyine,Yay,Mudon,Kyeikkhame,Belin,Thieinzayet
lat,16.912148,16.55,16.931257,16.5,15.247048,16.23333333,16.08333333,17.21666667,17.517583
lon,97.639158,98.25,97.381868,97.61666667,97.855761,97.71666667,97.56666667,97.23333333,96.880424
2013/9/12 9:00,31,0,40,40,7,28,14,21,30
2013/9/13 9:00,6,25,24,24,19,10,15,13,9
2013/9/14 9:00,18,3,1,1,18,5,2,14,41
2013/9/15 9:00,157,70,111,111,128,225,96,113,49
2013/9/16 9:00,67,64,186,186,138,51,128,94,136
2013/9/17 9:00,27,19,21,21,47,84,35,61,65
2013/9/18 9:00,25,42,40,40,35,50,29,43,16
2013/9/19 9:00,8,10,42,42,22,86,23,52,2
2013/9/20 9:00,33,18,2,2,12,83,58,92,0
2013/9/21 9:00,70,49,89,89,24,76,32,86,48
2013/9/22 9:00,64,88,69,69,72,227,194,119,24
2013/9/23 9:00,5,2,2,2,154,80,172,209,12
2013/9/24 9:00,14,0,1,1,11,26,43,61,1
2013/9/25 9:00,0,0,9,9,3,120,9,67,4
2013/9/26 9:00,28,3,15,15,94,116,23,63,21
2013/9/27 9:00,61,39,23,23,60,110,82,80,20
2013/9/28 9:00,32,64,63,63,59,22,12,36,108
2013/9/29 9:00,1,7,14,14,5,7,0,0,5
2013/9/30 9:00,8,29,13,13,13,2,18,14,38
2013/10/1 9:00,5,3,2,2,2,7,2,0,10
2013/10/2 9:00,39,7,13,13,6,0,2,45,20
2013/10/3 9:00,11,41,0,0,1,6,0,2,1
2013/10/4 9:00,57,30,33,33,23,8,44,3,15
2013/10/5 9:00,44,150,8,8,57,14,18,78,1
2013/10/6 9:00,2,12,15,15,4,0,0,0,41
2013/10/7 9:00,0,0,0,0,5,0,7,0,1
2013/10/8 9:00,0,0,0,0,0,0,0,0,0
2013/10/9 9:00,0,0,0,0,0,0,0,0,0
2013/10/10 9:00,0,0,0,0,0,0,0,0,0
2013/10/11 9:00,0,0,12,12,12,0,5,6,2
2013/10/12 9:00,0,2,10,10,0,47,17,6,0
2013/10/13 9:00,0,3,0,0,0,0,0,0,0
2013/10/14 9:00,0,0,8,8,0,2,0,0,0
2013/10/15 9:00,0,0,0,0,0,0,0,2,0
2013/10/16 9:00,11,0,11,11,40,0,2,9,9
2013/10/17 9:00,12,0,2,2,16,9,38,0,25
2013/10/18 9:00,30,39,19,19,1,13,35,18,42
2013/10/19 9:00,18,27,14,14,18,12,21,24,0
2013/10/20 9:00,14,45,0,0,0,0,0,3,0
2013/10/21 9:00,11,0,1,1,13,0,15,0,1
2013/10/22 9:00,22,89,15,15,35,0,3,0,0
2013/10/23 9:00,0,0,0,0,0,0,0,0,0
2013/10/24 9:00,0,0,0,0,40,0,10,2,0
2013/10/25 9:00,2,0,94,94,3,0,0,54,4
2013/10/26 9:00,9,2,2,2,4,0,35,1,0
2013/10/27 9:00,0,0,3,3,0,23,0,0,0
2013/10/28 9:00,1,0,32,32,0,0,0,0,11
2013/10/29 9:00,1,0,13,13,2,0,0,2,25
2013/10/30 9:00,0,0,0,0,0,0,0,0,0
2013/10/31 9:00,0,0,0,0,0,6,0,0,0
