kp,depth_m,equivalent_width_m,top_width_m,area_m2,thalweg_m,bank_elevation_m,survey_year,source_file
93.5,7.550000000000001,171.0871161613707,283.99091743119266,1291.7077270183488,16.57,24.12,H24①,WZAA4035.CSV
94.0,9.129999999999999,123.66257375714983,187.34090277777773,1129.0392984027778,15.82,24.95,H24①,WZAA4037.CSV
94.5,8.349999999999998,147.55502248517323,223.19650717703342,1232.0844377511962,16.69,25.04,H24①,WZAA4038.CSV
95.0,8.34,202.3803315693496,437.8006033717835,1687.8519652883756,17.63,25.97,H24①,WZAA4039.CSV
95.5,9.079999999999998,160.13130066079293,345.80999999999995,1453.9922099999994,17.16,26.24,H24①,WZAA4040.CSV
96.0,8.05,128.93252263388655,193.62572315614116,1037.906807202787,17.32,25.37,H24①,WZAA4041.CSV
96.5,6.73,220.21841357107473,425.62333333333333,1482.069923333333,19.04,25.77,H24①,WZAA4042.CSV
97.0,7.739999999999998,132.06654384795786,331.41787448957666,1022.1950493831936,18.19,25.93,H24①,WZAA4043.CSV
97.5,10.240000000000002,108.62377386447237,213.6485650224215,1112.3074443721973,16.08,26.32,H24①,WZAA4045.CSV
98.0,8.86,221.1721422997673,353.00568439407147,1959.5851807759382,18.67,27.53,H24①,WZAA4046.CSV
98.5,7.790000000000003,195.56787389024936,380.78092436974794,1523.473737605043,19.22,27.01,H24①,WZAA4047.CSV
99.0,7.919999999999998,209.85654138267793,357.9336488673139,1662.0638077508088,20.03,27.95,H24①,WZAA4048.CSV
99.5,6.559999999999999,248.16917966445257,537.5022584822585,1627.9898185988086,20.42,26.98,H24①,WZAA4049.CSV
100.0,7.210000000000001,195.79112877413846,483.71530769230765,1411.6540384615384,21.13,28.34,H24①,WZAA4050.CSV
100.5,9.559999999999999,143.96755391333227,290.22687777329566,1376.3298154114564,18.91,28.47,H24①,WZAA4051.CSV
101.0,8.490000000000002,191.19446020963466,289.2902897261427,1623.2409671797986,21.15,29.64,H24①,WZAA4052.CSV
101.5,8.34,181.49673835967727,334.1859124087591,1513.6827979197083,20.76,29.1,H24①,WZAA4053.CSV
102.0,6.190000000000001,199.9211243058965,288.449702780441,1237.5117594534997,22.02,28.21,H24①,WZAA4054.CSV
102.5,9.489999999999998,257.4042824871558,542.7540932642487,2442.766640803108,21.07,30.56,H24①,WZAA4055.CSV
