kp,lat,lon
46.0,43.236297426886836,141.66237254781484
46.5,43.2399960213582,141.66075451353052
47.0,43.24426168836485,141.6591270138608
47.5,43.24900275902843,141.6585519938839
48.0,43.253305720894765,141.65820765286614
48.5,43.25804311191814,141.657687553523
49.0,43.26232384368532,141.65709492709684
49.5,43.26685086259518,141.65628208137906
50.0,43.27126848702602,141.65590881703773
50.5,43.27604459291064,141.65587216774136
51.0,43.28055061732699,141.65596251896483
51.5,43.284450784987634,141.6560550530345
52.0,43.28869292406153,141.65617722034744
52.5,43.29321691850656,141.65640436882737
53.0,43.29744890545773,141.65715922888103
53.5,43.301542703416345,141.65956282794062
54.0,43.30540127107444,141.66264385420405
54.5,43.30897545800722,141.6667402650675
55.0,43.310587732338256,141.67191408295957
55.5,43.31416915232512,141.67583416176257
56.0,43.31678865897122,141.6806233289454
56.5,43.319988539124424,141.68498960576443
57.0,43.32342538321829,141.68889253747767
57.5,43.327278904154035,141.69198012784796
58.0,43.33155843154622,141.69462520216732
58.5,43.33570935308067,141.69651731401262
59.0,43.339738384337565,141.69917650534
59.5,43.3439614168176,141.7022762886497
60.0,43.34642323699759,141.70554883150928
60.5,43.34838998233385,141.71042229426004
61.0,43.35053190410818,141.7160611984023
61.5,43.35179256810893,141.7221984574735
62.0,43.3527435742761,141.72756874146023
62.5,43.353829220328464,141.73368126283864
63.0,43.35456991472907,141.73942673399384
63.5,43.3554976644743,141.74560948058735
64.0,43.35545726527457,141.75207256199744
64.5,43.35720105143565,141.75559931209278
65.0,43.35885360260639,141.7608971879144
65.5,43.361236954056146,141.76412809045758
66.0,43.3647786785759,141.7665846421053
66.5,43.36835342959871,141.76900260214745
67.0,43.37232289237574,141.7716875676414
67.5,43.375449430797374,141.77555477306515
68.0,43.377386131544505,141.78012818791075
68.5,43.37899343954423,141.78513853518706
69.0,43.38053850109219,142.2511243047362
69.5,43.38020953231911,141.79744261784643
70.0,43.38167013374197,141.8044593934773
70.5,43.38310260165735,141.80840454853106
71.0,43.385729281466375,141.81319461285165
71.5,43.38861432292964,141.81699007138957
72.0,43.39226842158627,141.8199606979053
72.5,43.39594434922674,141.82169478855724
73.0,43.400278404866185,141.82374356820714
73.5,43.40426769741858,141.825664488012
74.0,43.40830652007493,141.82808936358623
74.5,43.411205646543614,141.83220076003497
75.0,43.4160787200132,141.83249170601295
75.5,43.41993589449241,141.8348736044607
76.0,43.42436656753712,141.8376304628947
76.5,43.42819510840337,141.84147517017325
77.0,43.43158895053258,141.84483521304477
77.5,43.43471867066839,141.84850227248452
78.0,43.43710203402289,141.85227215565055
78.5,43.439245828587744,141.856842729904
79.0,43.441360006373145,141.86186981242747
79.5,43.44408142013684,141.8661378405603
80.0,43.447461019018256,141.86932656872645
80.5,43.45108549516376,141.8712063081049
81.0,43.45450531504317,141.87161496764483
81.5,43.458917333099166,141.87076993032784
82.0,43.46319271066197,141.87106562030016
82.5,43.46736412083273,141.87022291887843
83.0,43.47178304063104,141.86931022032644
83.5,43.476421434443566,141.86887333451477
84.0,43.48133274330127,141.86982430823488
84.5,43.48509485732519,141.87313412228463
85.0,43.48773919449975,141.87820641638766
85.5,43.48967149910471,141.88379969100706
86.0,43.49174147994886,141.88940892234365
86.5,43.49516921565184,141.89428968180243
87.0,43.49986493519133,141.89792591200683
87.5,43.50507497261732,141.89876462797247
88.0,43.50942935616704,141.89961415528614
88.5,43.51377023850659,141.8995408722182
89.0,43.51817998223727,141.8990708734965
89.5,43.522690505729926,141.89829760930968
90.0,43.527462377379706,141.8978023599519
90.5,43.5319737626134,141.89789179485913
91.0,43.536016282740384,141.8918385292459
91.5,43.53986556559879,141.89076375493048
92.0,43.54456873979929,141.89124967418002
92.5,43.54910702305355,141.89154897097546
93.0,43.55288890161319,141.88900065424727
93.5,43.5577801231724,141.8889389819764
94.0,43.56173872095384,141.8862274893143
94.5,43.56552672739445,141.88270253627547
95.0,43.56884930177064,141.8801229277684
95.5,43.5721209785446,141.8798446799681
96.0,43.576794971149866,141.88127119636604
96.5,43.5810128279044,141.88276876948356
